Transformation,Model,Adj R2 (Train),Adj R2 (Test),F Statistic,Durbin Watson,Jarque Bera,Anderson Darling (Train),Anderson Darling (Test),White's (Train),AIC,BIC
x^-2,OLS Elastic,-0.5034615915214578,-0.987918988845516,1.0,1.4649163792571904,0.0,0.0,0.0,1.987297533760586e-15,-35115.79203795837,-34878.60525802322
x^-3/2,OLS Elastic,-0.954010146362199,-1.5945419698300856,1.0,1.1147171998967953,0.0,0.0,0.0,6.671185828723613e-18,-26031.354879530412,-25794.168099595267
x^-1,OLS Elastic,-2.3307160813731187,-3.3822934584484843,1.0,0.6433988450473225,1.4132763056803296e-173,0.0,4.698816958840044e-22,2.2528790962890104e-19,-16746.86625215702,-16509.679472221873
x^-1/2,OLS Elastic,-10.119896174512634,-13.314246159130542,1.0,0.18950545089509427,7.844178099540129e-29,0.0,1.2282782756253608e-09,7.649973226736296e-20,-7175.6236389328915,-6938.436858997746
x^-1/3,OLS Elastic,0.7171373929938942,0.6565203000634541,3.2045977758212266e-218,1.9618230999155581,0.005253610852915203,0.04595501940729457,0.7626869661608706,6.48187148431681e-12,-8072.43103437281,-7835.2442544376645
x^-1/4,OLS Elastic,0.7854516668229443,0.7203518255921838,1.4743298244337163e-270,1.9808988670197054,0.009433264666107652,0.017559455336058315,0.2604711136882948,4.714678471702489e-10,-7212.4713835401435,-6975.284603604998
x^-1/5,OLS Elastic,0.8051089814732026,0.7385931116232379,8.151575304993555e-289,1.9784041905906988,0.10052977132281876,0.03235989653858833,0.24448385270744913,6.6417798217052384e-09,-6722.784445858233,-6485.597665923087
ln(x),OLS Elastic,0.8340110673156202,0.7557486726729717,2.28066e-319,1.9775094001729285,4.5800551748506525e-05,0.11244242129705607,0.0986233622939596,8.021505628008366e-08,146.5766805380938,383.7634604732395
x^0.09,OLS Elastic,0.8309029308046029,0.7481921365266115,7.8048434e-316,1.9825822964150743,2.2048907040280884e-09,0.024518104940873652,0.03587967123732505,2.8615732980564386e-08,-2337.4460743890522,-2100.2592944539065
x^1/5,OLS Elastic,0.8297442551048684,0.7415271052904338,1.559973784e-314,1.9893777488780942,6.017409511715723e-18,0.00095075886418104,0.00586750681662718,1.2317002513371157e-08,1206.7617225009797,1443.9485024361254
x^1/4,OLS Elastic,0.8275556300097139,0.7360856770646118,4.225233136385e-312,1.9931343746562793,4.40492380331753e-25,0.00012639651630667322,0.00253014203048404,6.201810907533265e-09,2653.2043421561666,2890.3911220913124
x^1/3,OLS Elastic,0.8228740637441875,0.7247002344139692,5.324751106188113e-307,1.9970700522078695,1.0498176048503086e-40,2.8092361902455052e-06,0.000307807665517286,1.0179789580632471e-09,4916.655155320267,5153.841935255413
x^1/2,OLS Elastic,0.8107696505230376,0.6969193622523517,2.0220307299672183e-294,2.0065378565864234,2.16105971028254e-108,9.597706382197206e-11,4.319861226979688e-06,2.069051115619316e-11,9156.597798158851,9393.784578093997
x^1,OLS Elastic,0.7578496702274828,0.5815530800398776,1.3174114185464789e-247,2.017892705469386,0.0,0.0,2.1225867150993163e-14,4.524083180691466e-16,21095.886451605613,21333.07323154076
x^3/2,OLS Elastic,0.6767931323346761,0.42006872025554864,4.195698523347706e-193,2.017124389380039,0.0,0.0,6.788279601456299e-26,1.3379496531046202e-18,32768.00672919353,33005.193509128665
x^2,OLS Elastic,0.5723834571865377,0.22775599131699775,8.831977970305696e-141,2.007840015294123,0.0,0.0,0.0,1.4317239247653142e-19,44443.162461508095,44680.34924144324
ln^-2(x),OLS Elastic,-74.7904847951723,-94.03563516937686,1.0,0.027650227609415403,2.8716732068288163e-11,5.109710277116087e-15,8.910154507791535e-06,7.714554158689785e-20,-6121.2805990842335,-5884.093819149088
ln^-3/2(x),OLS Elastic,-134.20767311337914,-168.07170391341248,1.0,0.01548301624269324,5.123178820680461e-09,2.4016496774015014e-12,3.9775614974531624e-05,7.965186540739906e-20,-3908.038644154194,-3670.8518642190484
ln^-1(x),OLS Elastic,0.6992388648393049,0.6304019002294046,1.1919261506013776e-206,1.9580561461937889,0.7790610417982684,0.8689538687559342,0.5596220789839428,6.2103485030545514e-12,-8165.484233716581,-7928.297453781435
ln^-1/2(x),OLS Elastic,0.7477083529028083,0.678928074696972,7.724144026962621e-240,1.9660947214773556,0.23275298187302884,0.1421282810404328,0.17722226440821637,4.6507062713992547e-10,-7411.9969833880805,-7174.810203452935
ln^-1/3(x),OLS Elastic,0.7409363771647786,0.6732474164847049,7.9335965268948e-235,1.9643935581381489,0.15451925830983088,0.09585022417329202,0.20309054581449604,1.26470993702081e-09,-7407.015148547473,-7169.828368612327
ln^-1/4(x),OLS Elastic,0.7220519477292662,0.657319938940242,1.5737834183168004e-221,1.9572147877455455,0.23788755633664577,0.22770523660787587,0.12139683560530241,5.719622727325044e-10,-7509.893088179035,-7272.706308243889
ln^-1/5(x),OLS Elastic,0.7038153201160029,0.6383303875666908,1.5365783204184925e-209,1.949116570702108,0.10820340553765874,0.19698328385699893,0.0757678076211642,7.490573795357144e-11,-7646.146556600148,-7408.959776665002
ln(ln(x)),OLS Elastic,0.8161780373493427,0.7392808851310121,6.151862460734758e-300,1.9563193332623816,0.0011642187269506911,0.044714979760612776,0.3942171856883297,1.9488303410060187e-08,-4195.881988628692,-3958.695208693546
ln^0.09(x),OLS Elastic,0.535771276083757,0.5042466386445532,1.4197082611185815e-125,1.8487962551417574,0.04009197510246876,0.33893193365259877,0.5242788890675442,1.544099823076447e-14,-7320.4491121638275,-7083.262332228682
ln^1/5(x),OLS Elastic,0.7468410074182695,0.6873963988035047,3.446342474240691e-239,1.9358615591158566,0.009725469451482486,0.10607012332742415,0.5798364701601868,5.122577714519156e-11,-6019.341961094204,-5782.155181159058
ln^1/4(x),OLS Elastic,0.7810057496233456,0.7029463775239949,1.1528353878031596e-266,1.9370364903561732,0.0007396280863627044,0.042569805663736644,0.5132018933977831,2.5055516242822885e-09,-5515.8275481647925,-5278.640768229647
ln^1/3(x),OLS Elastic,0.8034806723001678,0.7257634159775772,3.112462536951044e-287,1.9470605418970688,0.00037643796319800424,0.030390992644588746,0.5378680871312913,1.0252425143367023e-08,-4709.4226023883475,-4472.235822453202
