Rank,Company,Headquarters_Headquarters,USA_Retail_Sales_million,USA_Sales_Growth_14vs13,Worldwide_ Retail_ Sales_million,USA_percentage_Worldwide_ Sales,Number_Stores,Growth 14vs13
100,Dell,"Round Rock, Texas",3868000,-0.06,3868000,1,N/A,N/A
99,Price Chopper Supermarkets,"Schenectady, N.Y.",3890000,0.03,3890000,1,135,0.02
98,Stater Bros. Holdings,"San Bernardino, Calif.",3910000,0.02,3910000,1,167,0.01
97,Sonic,"Oklahoma City, Okla.",4033000,0.04,4033000,1,3518,0.00
96,Chipotle Mexican Grill,"Denver, Colo.",4069000,0.28,4108000,0.99,1766,0.12
95,Belk,"Charlotte, N.C.",4110000,0.02,4110000,1,297,-0.01
94,Domino's Pizza,"Ann Arbor, Mich.",4116000,0.09,8915000,0.46,5067,0.02
93,True Value Co.,Chicago,4117000,0.06,3891000,0.98,4602,0.02
92,Michaels Stores,"Irving, Texas",4277000,0.04,4738000,0.9,1170,0.02
91,Advance Auto Parts,"Roanoke, Va.",4379000,0.06,4406000,0.99,4098,0.02
